candidate_id,age_group,minimal_proxy,with_proxies,without_direct_age_proxies,delta_with_vs_without,delta_without_vs_minimal,delta_with_vs_minimal
cand_001974,60+,0.61516106,0.63789535,0.6640221,-0.026126742,0.048861027,0.022734284
cand_001990,30-39,0.5724226,0.6127783,0.6155323,-0.002753973,0.043109655,0.040355682
cand_001996,50-59,0.65027547,0.7115401,0.6511096,0.060430527,0.0008341074,0.061264634
cand_001997,40-49,0.6959204,0.7313882,0.6703478,0.0610404,-0.025572598,0.035467803
cand_002011,<30,0.6138299,0.62545377,0.6414099,-0.015956104,0.027579963,0.011623859
cand_002012,60+,0.7136333,0.7027402,0.6650547,0.037685513,-0.04857862,-0.010893106
cand_002015,<30,0.606238,0.62036365,0.6544703,-0.03410667,0.048232317,0.014125645
cand_002029,50-59,0.5426421,0.5339189,0.6560519,-0.12213296,0.11340976,-0.008723199
cand_002032,40-49,0.6501846,0.6563881,0.7024817,-0.046093583,0.052297115,0.006203532
cand_002033,30-39,0.51743406,0.5941286,0.5354977,0.058630884,0.018063664,0.07669455
cand_002036,60+,0.6194736,0.66990244,0.6448764,0.025026023,0.025402844,0.050428867
cand_002045,60+,0.66562235,0.6534668,0.6331154,0.02035141,-0.032506943,-0.012155533
cand_002061,<30,0.65489465,0.6451064,0.63319933,0.011907041,-0.021695316,-0.009788275
cand_002082,30-39,0.60975623,0.6621071,0.6601533,0.0019537807,0.050397098,0.05235088
cand_002083,50-59,0.53341067,0.5405025,0.53130627,0.009196222,-0.0021044016,0.0070918202
cand_002085,30-39,0.5700809,0.6023376,0.62745446,-0.02511686,0.057373583,0.032256722
cand_002123,60+,0.61982346,0.6097397,0.6392168,-0.02947706,0.019393325,-0.010083735
cand_002125,50-59,0.57740355,0.6478537,0.6938852,-0.046031535,0.11648166,0.07045013
cand_002136,40-49,0.61618924,0.67788875,0.6510097,0.026879072,0.034820437,0.06169951
cand_002150,50-59,0.63831395,0.61546564,0.63071203,-0.015246391,-0.007601917,-0.022848308
cand_002157,50-59,0.5580626,0.5836073,0.57625747,0.0073498487,0.018194854,0.025544703
cand_002158,60+,0.61785984,0.6121702,0.6439861,-0.031815886,0.026126266,-0.005689621
cand_002206,50-59,0.6480657,0.68093234,0.64906716,0.03186518,0.0010014772,0.032866657
cand_002217,50-59,0.54266286,0.6608997,0.67799705,-0.017097354,0.1353342,0.11823684
